,Word,Count
688,san,1
689,department,1
690,country,1
691,alone,1
692,health,1
693,reverse,1
694,rejection,1
695,voice,1
696,specific,1
697,intersectional,1
698,discrimination,1
699,wont,1
700,happen,1
701,prefect,1
702,example,1
703,currently,1
704,invariably,1
705,democratic,1
706,republic,1
707,inside,1
708,capitalism,1
709,frame,1
710,hence,1
711,bikini,1
712,small,1
713,expression,1
714,doesnt,1
715,red,1
716,threat,1
717,violence,1
718,disrespect,1
719,jordan,1
720,marriage,1
721,join,1
722,military,1
723,pill,1
724,crime,1
725,feminism,1
726,married,1
727,selfish,1
728,conversation,1
729,incredibly,1
730,misogyny,1
731,ur,1
732,underlie,1
733,create,1
734,align,1
735,positivity,1
736,travel,1
737,agency,1
738,towards,1
739,order,1
740,childless,1
741,less,1
742,prison,1
743,pal,1
744,cloak,1
745,historically,1
746,liberal,1
747,rape,1
748,oppress,1
749,due,1
750,activist,1
751,else,1
752,advantage,1
753,either,1
754,petty,1
755,sentiment,1
756,mouth,1
757,career,1
758,grey,1
759,ridiculous,1
760,evident,1
761,senior,1
762,clearly,1
763,express,1
764,news,1
765,deny,1
766,claim,1
767,unaware,1
768,around,1
769,field,1
770,particularly,1
771,minority,1
772,unless,1
773,trust,1
774,level,1
775,rise,1
776,fascism,1
777,flag,1
778,protest,1
779,green,1
780,stunning,1
781,millions,1
782,publish,1
783,fuel,1
784,personally,1
785,study,1
786,toward,1
787,media,1
788,decision,1
789,terminate,1
790,contract,1
791,outcome,1
792,senate,1
793,shed,1
794,lens,1
795,anagram,1
796,concerned,1
797,home,1
798,family,1
799,hold,1
800,dominate,1
801,status,1
802,quo,1
803,satan,1
804,taint,1
805,historical,1
806,basically,1
807,strength,1
808,found,1
809,space,1
810,correction,1
811,obit,1
812,flat,1
813,sort,1
814,campaign,1
815,confluence,1
816,se,1
817,natural,1
818,beauty,1
819,en,1
820,pueblo,1
821,corporate,1
822,aspect,1
823,disproportionately,1
824,idea,1
825,affect,1
826,codify,1
827,facial,1
828,plain,1
829,emotionless,1
830,teach,1
831,drain,1
832,earth,1
833,ya,1
834,enthusiastic,1
835,attack,1
836,fundamentally,1
837,despicable,1
838,deafen,1
839,obey,1
840,uphold,1
841,fallaciously,1
842,hypocritically,1
843,gang,1
844,horrendous,1
845,sting,1
846,junior,1
847,hope,1
848,session,1
849,thats,1
850,fall,1
851,solution,1
852,situation,1
853,unpack,1
854,dance,1
855,tribunal,1
856,unfeeling,1
857,chart,1
858,clarify,1
859,system,1
860,reduce,1
861,job,1
862,straight,1
863,office,1
864,unite,1
865,whole,1
866,worrying,1
867,unwelcome,1
868,inextricable,1
869,agree,1
870,spend,1
871,squabble,1
872,failure,1
873,politic,1
874,measure,1
875,forty,1
876,visit,1
877,foreign,1
878,abroad,1
879,photo,1
880,times,1
881,forget,1
882,assault,1
883,sixty,1
884,laziness,1
885,report,1
886,subject,1
887,coercive,1
888,contact,1
889,speech,1
890,part,1
891,structure,1
892,search,1
893,instead,1
894,conceptual,1
895,balance,1
896,book,1
897,mediocrity,1
898,unearned,1
899,harder,1
900,late,1
901,radio,1
902,jersey,1
903,last,1
904,team,1
905,made,1
906,breakthrough,1
907,admit,1
908,initial,1
909,excitement,1
910,micro,1
911,astute,1
912,suspect,1
913,brought,1
914,rural,1
915,outrage,1
916,share,1
917,diversity,1
918,commitment,1
919,raise,1
920,bar,1
921,proudly,1
922,withdrawn,1
923,loyally,1
924,seeing,1
925,husband,1
926,wife,1
927,admire,1
928,probably,1
929,nominee,1
930,cite,1
931,form,1
932,excite,1
933,style,1
934,removal,1
935,targeted,1
936,land,1
937,torn,1
938,tiny,1
939,hostile,1
940,benevolent,1
941,big,1
