Id;Label;PageRank;Authorithy;Eccentricity;Hub;Closeness;Harmonic Closeness;Betweenness;Clustering Coeff.
baby;baby;0.0014001049124143874;0.025922751;2.0;0.025922751;0.6839622641509434;0.7689655172413793;0.09243470176952613;0.998752772808075
ncs;ncs;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
blm;blm;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
news;news;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
racist;racist;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
hate;hate;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
education;education;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
bigotry;bigotry;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
culture;culture;0.0022927030782697597;0.04792015;2.0;0.04792015;0.9931506849315068;0.996551724137931;0.5184477172871472;0.9979590773582458
people;people;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
world;world;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
patriarchy;patriarchy;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
democrats;democrats;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
asia;asia;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
africa;africa;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
diversity;diversity;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
stereotypes;stereotypes;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
